Serial_Number,Intervention_ID,Affected_Module,Actual_Severity,Maintenance_Type,Age,Maintenance_Cost,Downtime,Maintenance_Frequency,Failure_Event_Count,MTBF,Failure_Rate,Downtime_Per_Failure,Maintenance_Intensity,Affected_Module_Encoded,Predicted_Risk,Proba_Low,Proba_Medium,Proba_High
343767HMO,OPT540_006,General Maintenance,Low,Préventive,7.0,7515.19,0.0,4,0,169.0,0.0,1.0,1.0,4,Low,99.88,0.09,0.03
343767HMO,OPT540_007,General Maintenance,Low,Préventive,7.0,7515.19,1.0,4,0,169.0,0.0,1.0,1.0,4,Low,99.73,0.24,0.03
343767HMO,OPT540_013,General Maintenance,Low,Préventive,7.0,7515.19,0.0,4,0,169.0,0.0,1.0,1.0,4,Low,99.88,0.09,0.03
343767HMO,OPT540_045,General Maintenance,Low,Préventive,7.0,7515.19,0.0,4,0,169.0,0.0,1.0,1.0,4,Low,99.88,0.09,0.03
347506HM8,OPT540_002,General Maintenance,Medium,Curative,7.0,7515.19,0.0,9,9,29.3333,1.0377,8.3333,75.0,4,High,4.95,4.5,90.56
347506HM8,OPT540_003,DAS / Data Acquisition,Medium,Curative,7.0,7515.19,1.0,9,9,29.3333,1.0377,8.3333,75.0,2,High,0.1,1.59,98.31
347506HM8,OPT540_010,Cooling / Tube,High,Curative,7.0,7515.19,8.0,9,9,29.3333,1.0377,8.3333,75.0,1,High,0.03,2.06,97.91
347506HM8,OPT540_011,Cooling / Tube,High,Curative,7.0,7515.19,8.0,9,9,29.3333,1.0377,8.3333,75.0,1,High,0.03,2.06,97.91
347506HM8,OPT540_019,DAS / Data Acquisition,High,Curative,7.0,7515.19,9.0,9,9,29.3333,1.0377,8.3333,75.0,2,High,0.03,2.51,97.46
347506HM8,OPT540_036,DAS / Data Acquisition,High,Curative,7.0,7515.19,10.0,9,9,29.3333,1.0377,8.3333,75.0,2,High,0.03,2.78,97.19
347506HM8,OPT540_037,DAS / Data Acquisition,High,Curative,7.0,7515.19,,9,9,29.3333,1.0377,8.3333,75.0,2,Medium,0.04,70.15,29.81
347506HM8,OPT540_038,DAS / Data Acquisition,High,Curative,7.0,7515.19,1.0,9,9,29.3333,1.0377,8.3333,75.0,2,High,0.1,1.59,98.31
347506HM8,OPT540_048,DAS / Data Acquisition,Medium,Curative,7.0,7515.19,38.0,9,9,29.3333,1.0377,8.3333,75.0,2,Medium,0.04,70.15,29.81
387454HM2,OPT540_012,DAS / Data Acquisition,Medium,Curative,7.0,7515.19,6.0,3,3,30.6667,0.9926,4.0,12.0,2,Medium,0.18,99.69,0.13
387454HM2,OPT540_014,Detector / Sensors,Medium,Curative,7.0,7515.19,2.0,3,3,30.6667,0.9926,4.0,12.0,3,Medium,0.88,98.27,0.86
387454HM2,OPT540_041,Mechanical / Gantry,Medium,Curative,7.0,7515.19,4.0,3,3,30.6667,0.9926,4.0,12.0,5,Medium,0.28,99.55,0.17
412355HMO,OPT540_046,Cooling / Tube,High,Curative,7.0,7515.19,1.0,1,1,1.0,1.0,1.0,1.0,1,Low,75.4,11.98,12.62
421458HM1,OPT540_015,General Maintenance,Low,À vérifier,7.0,7515.19,0.0,11,9,18.0,1.6911,1.5556,14.0,4,High,25.11,19.01,55.88
421458HM1,OPT540_016,Mechanical / Gantry,Medium,Curative,7.0,7515.19,4.0,11,9,18.0,1.6911,1.5556,14.0,5,Medium,0.23,92.4,7.37
421458HM1,OPT540_017,General Maintenance,High,Curative,7.0,7515.19,0.0,11,9,18.0,1.6911,1.5556,14.0,4,High,25.11,19.01,55.88
421458HM1,OPT540_018,Mechanical / Gantry,Medium,Curative,7.0,7515.19,4.0,11,9,18.0,1.6911,1.5556,14.0,5,Medium,0.23,92.4,7.37
421458HM1,OPT540_020,General Maintenance,Medium,Curative,7.0,7515.19,0.0,11,9,18.0,1.6911,1.5556,14.0,4,High,25.11,19.01,55.88
421458HM1,OPT540_023,General Maintenance,Medium,Curative,7.0,7515.19,,11,9,18.0,1.6911,1.5556,14.0,4,Medium,0.19,82.99,16.82
421458HM1,OPT540_024,General Maintenance,Low,À vérifier,7.0,7515.19,0.0,11,9,18.0,1.6911,1.5556,14.0,4,High,25.11,19.01,55.88
421458HM1,OPT540_025,General Maintenance,High,Curative,7.0,7515.19,0.0,11,9,18.0,1.6911,1.5556,14.0,4,High,25.11,19.01,55.88
421458HM1,OPT540_034,Console / Software,Medium,Curative,7.0,7515.19,0.0,11,9,18.0,1.6911,1.5556,14.0,0,High,10.1,33.31,56.59
421458HM1,OPT540_035,General Maintenance,High,Curative,7.0,7515.19,3.0,11,9,18.0,1.6911,1.5556,14.0,4,High,0.32,11.82,87.86
